Year,Team,ISO,GoalsFor,GoalsAgainst,PenaltyGoals,Matches,AttemptsOnGoal,Won,Drawn,Lost,TopThree
1930,Argentina,ARG,18,9,0,5,18,4,0,1,2
1930,Uruguay,URY,15,3,0,4,15,4,0,0,1
1930,USA,USA,7,6,0,3,7,2,0,1,3
1930,Slovenia,SVN,7,7,0,3,7,2,0,1,0
1930,Brazil,BRA,5,2,0,2,5,1,0,1,0
1930,Chile,CHL,5,3,0,3,5,2,0,1,0
1930,France,FRA,4,3,0,3,4,1,0,2,0
1930,Mexico,MEX,4,13,1,3,4,0,0,3,0
1930,Romania,ROU,3,5,0,2,3,1,0,1,0
1930,Paraguay,PRY,1,3,0,2,1,1,0,1,0
1930,Peru,PER,1,4,0,2,1,0,0,2,0
1930,Belgium,BEL,0,4,0,2,0,0,0,2,0
1930,Bolivia,BOL,0,8,0,2,0,0,0,2,0
1934,Italy,ITA,12,3,0,5,12,4,1,0,1
1934,Germany,DEU,11,8,0,4,11,3,0,1,3
1934,Czech Republic,CZE,9,6,0,4,9,3,0,1,2
1934,Austria,AUT,7,7,0,4,7,2,0,2,0
1934,Hungary,HUN,5,4,1,2,5,1,0,1,0
1934,Switzerland,CHE,5,5,0,2,5,1,0,1,0
1934,Spain,EXP,4,3,1,3,4,1,1,1,0
1934,Sweden,SWE,4,4,0,2,4,1,0,1,0
1934,Argentina,ARG,2,3,0,1,2,0,0,1,0
1934,Netherlands,NLD,2,3,0,1,2,0,0,1,0
1934,France,FRA,2,3,1,1,2,0,0,1,0
1934,Egypt,EGY,2,4,0,1,2,0,0,1,0
1934,Belgium,BEL,2,5,0,1,2,0,0,1,0
1934,Romania,ROU,1,2,0,1,1,0,0,1,0
1934,Brazil,BRA,1,3,0,1,1,0,0,1,0
1934,USA,USA,1,7,0,1,1,0,0,1,0
1938,Hungary,HUN,15,5,0,4,15,3,0,1,2
1938,Brazil,BRA,14,11,0,5,14,3,1,1,3
1938,Italy,ITA,11,5,1,4,11,4,0,0,1
1938,Sweden,SWE,11,9,0,3,11,1,0,2,0
1938,Czech Republic,CZE,5,3,1,3,5,1,1,1,0
1938,Switzerland,CHE,5,4,0,3,5,1,1,1,0
1938,Poland,POL,5,6,1,1,5,0,0,1,0
1938,Cuba,CUB,5,12,0,3,5,1,1,1,0
1938,France,FRA,4,4,0,2,4,1,0,1,0
1938,Romania,ROU,4,5,0,2,4,0,1,1,0
1938,Germany,DEU,3,6,0,2,2,0,1,1,0
1938,Norway,NOR,1,2,0,1,1,0,0,1,0
1938,Belgium,BEL,1,3,0,1,1,0,0,1,0
1938,Netherlands,NLD,0,3,0,1,0,0,0,1,0
1938,Indonesia,IDN,0,6,0,1,0,0,0,1,0
1950,Brazil,BRA,22,6,0,6,22,4,1,1,2
1950,Uruguay,URY,15,5,0,4,15,3,1,0,1
1950,Sweden,SWE,11,17,1,5,11,2,1,2,3
1950,Spain,EXP,10,10,0,6,10,3,1,2,0
1950,Slovenia,SVN,7,3,0,3,7,2,0,1,0
1950,Chile,CHL,5,6,0,3,5,1,0,2,0
